Recipient,usaid,chinaaid,corruption,effectiveness,stability,regulation,gdppc,infant,population,freedom
Algeria,4939.973042848,54403.1270713425,-0.6478087283029755,-0.5325432668276991,-0.9482839567371228,-1.3096414436572361,3846.1204638456975,20.30207715133531,42216314.61127596,34.068249258160236
Angola,672013.0429261401,2162448.162731348,-1.3571874065100695,-1.0549872157077458,-0.37973735590367563,-0.9394843608390426,2902.090681156583,56.54960045662101,29062097.97869102,26.933409436834093
Benin,780486.42345567,191117.2162513883,-0.3732067781743332,-0.4695570622405843,-0.2056194838307331,-0.48749010571056833,1194.9934162703255,59.58179416356431,11888942.274768824,75.90861054401346
Botswana,187726.02557557,2152.740059914864,0.7228629814576257,0.3308388949683886,1.0227159019065104,0.587969387583576,6395.957141953856,32.72493678887484,2426946.395385588,72.53919089759798
Burkina Faso,664400.69356008,366016.06626801024,-0.13922117410697682,-0.725345047522928,-1.4284910003269915,-0.4561099661622093,822.0423079956636,53.454579439252335,21324369.92448598,57.17607476635514
Burundi,510168.11256779,11976.398750979813,-1.4488420160211029,-1.332097991967967,-1.473835849267881,-0.9352279433822389,234.09783396793986,41.88776919951239,11590458.956928078,19.389475822836246
Cabo Verde,22874.281663372,5724.57914578414,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,1023552.01267224,351835.1802795144,-1.1622135962692999,-0.8848158304558496,-1.2702227684423149,-0.8617208076654318,1537.1676045601214,52.067567567567565,25051542.07004964,20.686982901268614
Central African Republic,189518.68147764,10073.735492917065,-1.2578130787766915,-1.7466838007241905,-2.1138518290740382,-1.445346522858923,422.88654699507043,79.45653923541248,5158331.593561368,9.017102615694165
Chad,309997.83194212,30723.43074096265,-1.4128027637541392,-1.5020100071242912,-1.2677864353120216,-1.1307453225508142,773.6626773660956,73.19740106320141,14991501.170112226,18.983461311281747
Comoros,919.324494316,8467.089343724892,-0.8351534829864026,-1.6972490395171722,-0.18254556516303302,-1.1580996963042245,1471.3480457898734,44.58430379746836,758958.8658227848,53.29367088607595
Congo,40396.640037992,152535.27808123696,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,10332150.318500398,704415.692885177,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,37655.800301112,147601.40837846225,-0.6919306395123307,-0.9413989363898981,-0.4434987639951295,-0.7312372632664117,2607.7966897893953,51.68334578043316,1039600.1232262882,26.566840926064227
Egypt,1397054.2737254,2021535.7138061754,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,1191.7655247589998,46493.70730983595,-1.556884030186134,-1.1822989298733924,-0.15257420909378977,-1.610225599162518,9166.511951427954,63.626873198847264,1464307.6001440922,7.034582132564841
Eritrea,228.10179528,25695.3427732018,-1.2766881853142031,-1.7454560835089459,-0.6877686249329737,-2.1850506763330264,NA,32.059060402684565,3428753.932885906,2.6778523489932886
Ethiopia,18676005.8702984,2113924.836318858,-0.46618108102232403,-0.6437157847210673,-1.5625909592996003,-1.0342293690660187,725.520411677943,40.35465675340768,107952574.54493184,17.68981412639405
Gabon,5740.681565672,75325.84664568565,-0.7771494770369155,-0.8545481944403279,-0.029787991609047024,-0.7588067466168741,7551.885659640535,33.854302103250475,2098031.7533460804,30.061185468451242
Gambia,17530.872778368,24732.32043823007,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,4305758.0582764,897270.1159146725,-0.15603637304894083,-0.2541674797146919,0.03263642709592514,-0.14843200621630465,2088.160057121333,36.231216899732225,30580021.313716155,82.95548943766737
Guinea,461985.54862063,396218.7159442921,-1.0225882841673835,-1.0730314980042723,-0.7967586920575517,-0.9141056111989642,905.077548604701,69.1841061720499,12248311.941637352,40.67252958106812
Guinea-Bissau,6189.339869994,2765.418456798145,-1.4924271685265929,-1.5816879708944012,-0.548300695954621,-1.2550135513249667,706.453214878411,55.203972366148534,1913489.2728842832,40.80829015544042
Kenya,15255457.457816597,2221257.5641795048,-0.9210554046720327,-0.40476100334221937,-1.178531945975623,-0.3536139433926108,1679.5588377682323,32.00518055227756,48534832.55215955,50.66792541892849
Lesotho,264612.23349554,12903.591013044885,-0.07093713777200285,-0.8730409883638117,-0.2303681347252993,-0.5068024849359749,1092.2277908343406,61.41316012425868,2178378.534029935,65.62327026263767
