Recipient,usaid,chinaaid,corruption,effectiveness,stability,regulation,gdppc,infant,population,freedom
Algeria,1411.523653084,52794.20157323594,-0.6174881122213728,-0.4387479300828688,-1.0889664431835753,-1.2449751268041893,4403.702715308511,21.640425531914893,39703110.64893617,34.5
Angola,568228.0611215,1877573.9419060824,-1.4375632320777567,-1.0408176005791026,-0.35958635315277854,-0.9724868048192646,3102.248960717876,58.11557610241821,28221231.666903745,26.345898530109057
Benin,206972.16706105,62244.80757098729,-0.6218372107529545,-0.5928221034887822,0.08093966919993269,-0.5404260790786082,1134.3698127139387,63.3314910416034,10934724.286365017,81.52687518979654
Botswana,91148.70634756,1902.0625077348855,0.799532269458718,0.41971801544950565,1.024518334271995,0.6192050004895795,6197.038610341632,36.747302904564314,2303336.4094052557,73.17980636237898
Burundi,327806.09821,9765.622888564292,-1.294178417562116,-1.2921683837519895,-1.5113774227111607,-0.8083791579124551,253.00905179647532,46.24229607250755,10730078.719033232,26.734138972809667
Cabo Verde,21882.05296839,5664.3034587217635,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,229517.13034344,312245.75268673874,-1.1808336820971832,-0.8551971565189116,-0.9416766601535819,-0.8859953598962451,1480.3729153981349,56.87467718794835,23164327.19440459,24.00358680057389
Central African Republic,41119.50829048,367.42534757378786,-1.2697253156064148,-1.802724807120081,-1.947230266990947,-1.4381051535037033,376.7805345675373,83.0179104477612,4887856.791044776,8.302238805970148
Chad,171848.75629672,19479.93964522846,-1.4056374616842833,-1.4718197629136869,-1.2039231109419213,-1.1327569827093769,845.5453247951782,76.5727463312369,14002014.987421384,20.28511530398323
Comoros,460.89289766,3791.016307315359,-0.7108155621122987,-1.6666840805726904,-0.09525950563169716,-1.118074775820944,1422.5208324117648,46.71493212669684,735547.9819004525,55
Congo,12454.835670732,147673.43392403115,NA,NA,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,7079701.7049515,595774.3272007586,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,14599.469136312,136746.0152244151,-0.6282172211771152,-1.0229371985591276,-0.4714908211889016,-0.6483105031617611,2365.0855115219124,54.87197875166003,1003082.2483399734,28.12350597609562
Egypt,453556.9961385,677083.3288375684,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,557.976041311,36185.95601335652,-1.5573787629986426,-1.1942743504276643,-0.16706980843670077,-1.517210221443424,10645.499597791666,67.6713141025641,1356127.4118589743,8
Eritrea,32.014888728,4540.051347179246,-1.0758629007772966,-1.6536622128703398,-0.7694393504749646,-2.166463272138077,NA,34.61363636363637,3330789.8636363638,3
Ethiopia,10737251.315295398,1745332.312021616,-0.4900631126361739,-0.6524494142813625,-1.509391713644095,-1.0859591008481881,625.8153021073692,43.392757542465986,102464353.65621567,16.18676582438942
